From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
UniRef50_A0A1Q8ZK28	A0A1Q8ZK28	unreviewed	A0A1Q8ZK28_SYMMI	Integrase catalytic domain-containing protein	AK812_SmicGene48839	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	320
UniRef50_A0A1Q9BPW5	A0A1Q9BPW5	unreviewed	A0A1Q9BPW5_SYMMI	Retrovirus-related Pol polyprotein from transposon TNT 1-94	AK812_SmicGene48358	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	350
UniRef50_A0A1Q9BRB8	A0A1Q9BRB8	unreviewed	A0A1Q9BRB8_SYMMI	Uncharacterized protein	AK812_SmicGene47619	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	482
UniRef50_A0A1Q9BRH2	A0A1Q9BRH2	unreviewed	A0A1Q9BRH2_SYMMI	Uncharacterized protein	AK812_SmicGene47522	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	305
UniRef50_A0A1Q9BRL3	A0A1Q9BRL3	unreviewed	A0A1Q9BRL3_SYMMI	Uncharacterized protein	AK812_SmicGene47484	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	554
UniRef50_A0A1Q9BRQ8	A0A1Q9BRQ8	unreviewed	A0A1Q9BRQ8_SYMMI	Uncharacterized protein	AK812_SmicGene47400	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	555
UniRef50_A0A1Q9BRU6	A0A1Q9BRU6	unreviewed	A0A1Q9BRU6_SYMMI	Retrovirus-related Pol polyprotein from transposon TNT 1-94	AK812_SmicGene47352	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	433
UniRef50_A0A1Q9BRU6	A0A1Q9BSF9	unreviewed	A0A1Q9BSF9_SYMMI	Copia protein	GIP AK812_SmicGene47115	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	497
UniRef50_A0A1Q9BRW0	A0A1Q9BRW0	unreviewed	A0A1Q9BRW0_SYMMI	Uncharacterized protein	AK812_SmicGene47339	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	333
UniRef50_A0A1Q9BRW0	A0A1Q9CJ64	unreviewed	A0A1Q9CJ64_SYMMI	Uncharacterized protein	AK812_SmicGene36333	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	282
UniRef50_A0A1Q9BS05	A0A1Q9BS05	unreviewed	A0A1Q9BS05_SYMMI	Tyr recombinase domain-containing protein	AK812_SmicGene47280	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	433
UniRef50_A0A1Q9BS05	A0A812UY33	unreviewed	A0A812UY33_9DINO	Uncharacterized protein	STRI2592_LOCUS29852	Symbiodinium sp. CCMP2592	460
UniRef50_A0A1Q9BS05	A0A812XFU5	unreviewed	A0A812XFU5_9DINO	Uncharacterized protein	STRI2592_LOCUS35997	Symbiodinium sp. CCMP2592	400
UniRef50_A0A1Q9BS63	A0A812M9B0	unreviewed	A0A812M9B0_9DINO	CCHC-type domain-containing protein	SMICCKB8_LOCUS7537	Symbiodinium sp. KB8	364
UniRef50_A0A1Q9BS63	A0A1Q9BS63	unreviewed	A0A1Q9BS63_SYMMI	CCHC-type domain-containing protein	AK812_SmicGene47212 SMIC04503_LOCUS5793	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	364
