From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
UniRef50_A0A1Q8ZJK7	A0A1Q8ZJK7	unreviewed	A0A1Q8ZJK7_SYMMI	Uncharacterized protein	AK812_SmicGene49039	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	271
UniRef50_A0A1Q8ZK39	A0A1Q8ZK39	unreviewed	A0A1Q8ZK39_SYMMI	RNase H type-1 domain-containing protein	AK812_SmicGene48784	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	230
UniRef50_A0A1Q8ZY83	A0A813BD31	unreviewed	A0A813BD31_9DINO	Uncharacterized protein	SNEC2469_LOCUS30319	Symbiodinium necroappetens	309
UniRef50_A0A1Q8ZY83	A0A1Q8ZY83	unreviewed	A0A1Q8ZY83_SYMMI	Uncharacterized protein	AK812_SmicGene48720	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	249
UniRef50_A0A1Q9A823	A0A1Q9A823	unreviewed	A0A1Q9A823_SYMMI	Core-binding (CB) domain-containing protein	AK812_SmicGene48658	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	331
UniRef50_A0A1Q9AA52	A0A1Q9AA52	unreviewed	A0A1Q9AA52_SYMMI	Tyr recombinase domain-containing protein	AK812_SmicGene48651	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	356
UniRef50_A0A1Q9AYN4	A0A1Q9AYN4	unreviewed	A0A1Q9AYN4_SYMMI	Uncharacterized protein	AK812_SmicGene48567	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	333
UniRef50_A0A1Q9BE38	A0A1Q9BE38	unreviewed	A0A1Q9BE38_SYMMI	Uncharacterized protein	AK812_SmicGene48484	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	224
UniRef50_A0A1Q9BPW5	A0A1Q9BPW5	unreviewed	A0A1Q9BPW5_SYMMI	Retrovirus-related Pol polyprotein from transposon TNT 1-94	AK812_SmicGene48358	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	350
UniRef50_A0A1Q9BQ87	A0A1Q9BQ87	unreviewed	A0A1Q9BQ87_SYMMI	Uncharacterized protein	AK812_SmicGene48162	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	392
UniRef50_A0A1Q9BQ87	A0A812V3U7	unreviewed	A0A812V3U7_9DINO	Uncharacterized protein	STRI2592_LOCUS30319	Symbiodinium sp. CCMP2592	306
UniRef50_A0A1Q9BQ87	A0A812XIT6	unreviewed	A0A812XIT6_9DINO	Uncharacterized protein	STRI2592_LOCUS36213	Symbiodinium sp. CCMP2592	323
UniRef50_A0A1Q9BQG9	A0A1Q9BQG9	unreviewed	A0A1Q9BQG9_SYMMI	Tyr recombinase domain-containing protein	AK812_SmicGene48041	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	367
UniRef50_A0A1Q9BQI2	A0A1Q9BQI2	unreviewed	A0A1Q9BQI2_SYMMI	Uncharacterized protein	AK812_SmicGene48021	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	358
UniRef50_A0A1Q9BQP8	A0A1Q9BQP8	unreviewed	A0A1Q9BQP8_SYMMI	Uncharacterized protein	AK812_SmicGene47937	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	341
UniRef50_A0A1Q9BQQ6	A0A1Q9BQQ6	unreviewed	A0A1Q9BQQ6_SYMMI	Retrovirus-related Pol polyprotein from transposon TNT 1-94	AK812_SmicGene47911	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	355
UniRef50_A0A1Q9BQT3	A0A1Q9BQT3	unreviewed	A0A1Q9BQT3_SYMMI	Integrase catalytic domain-containing protein	AK812_SmicGene47918	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	426
UniRef50_A0A1Q9BRB7	A0A813CKV5	unreviewed	A0A813CKV5_9DINO	HhaIM protein	hhaIM SNEC2469_LOCUS35101	Symbiodinium necroappetens	449
UniRef50_A0A1Q9BRB7	A0A812GIH5	unreviewed	A0A812GIH5_9DINO	HhaIM protein	hhaIM SMICCKB8_LOCUS270	Symbiodinium sp. KB8	449
